1	1	Технический осмотр (проверка комплектности, наличия механический повреждений, состояния теплоизоляции фреоновых трубопроводов, креплений фреонопроводов, замер давления фреона)	1	10	система	май-сентябрь	1
1	2	Диагностика и профилактика холодильного контура (наружный блок), чистка теплообменников	2	10	система	1 раз в год	1
1	3	Профилактика электрического контура (подтяжка контактов, измерение основных электрических характеристик компонентов кондиционеров, проверка состояния электропроводки, замеры сопротивления изоляции электрической проводки в легкодоступных местах).Проверка работы всех плат и датчиков системы кондиционирования	3	10	система	1 раз в год	1
1	4	Консервация на зимний период (проведение всех мероприятий, указанных в паспорте на установку, отключение электроэнергии)	4	10	система	1 раз в год	1
1	5	Расконсервация (проведение всех мероприятий, указанных в паспорте систем, включение электроэнергии).	5	10	система	1 раз в год	1
1	6	Проверка давления во фреонопроводах системы кондиционирования воздуха	6	10	система	май, июль, сентябрь	1
1	7	Диагностирование работоспособности пульта управления	7	10	система	по заявкам	0
1	8	Чистка фильтров и промывка теплообменников внутреннего блока моющим и дезенфицирующим раствором	8	144	блок	1 раз в год	1
1	9	Промывка поддона, помпы и дренажной системы дезенфицирующим раствором	9	144	блок	1 раз в год	1
1	10	Тепло и холодофизическая диагностика	10	10	система	1 раз в год	1
1	11	Аварийные работы	11	1	комплект	по заявкам	0
2	1	Технический осмотр оборудования (проверка комплектности оборудования, герметичности   водяных контуров, состояния тепловой изоляции, наличия механических повреждений оборудования, воздуховодов и их теплоизоляции, давления фреонопроводов)	12	8	вентустановка	ежеквартально	1
2	2	Замена воздушных фильтров	13	12	шт	2 раза в год	1
2	3	Проверка состояния вентиляторов, балансировка, чистка лопастей и кожуха вентилятора. Проверка свободного вращения крыльчатки	14	23	вентилятор	ежеквартально	1
2	4	Проверка состояния двигателя вентилятора (степени нагрева кожуха), измерение токовых характеристик. Проверка крепления двигателя; проверка давления всасывания.Проверка степени износа всех подвижных элементов агрегата и надежности затяжки всех установочных винтов)	15	31	вентустановка	ежеквартально	1
2	5	Проверка плотности закрытия воздушных заслонок.	16	8	шт	ежеквартально	1
2	6	Чистка приточных и вытяжных решеток (диффузоров). Проверка работы гравитационных жалюзи.	17	250	шт	1 раз в год	1
2	7	Проверка приводов воздушных заслонок	18	8	шт	ежеквартально	1
2	8	Проверка работы трехходового клапана контура нагрева, периодическая чистка клапана.	19	8	шт	1 раз в год	1
2	9	Чистка наружной поверхности нагревательного теплообменника.	20	8	шт	1 раз в год	1
2	10	Чистка дренажной системы охладителя, проверка наличия протечек конденсата	21	5	шт	1 раз в год	1
2	11	Проверка работы рекуператора	22	4	шт	ежемесячно	1
2	12	Проверка срабатывания датчиков систем автоматики вентиляционных установок	23	8	вентустановка	2 раза в год	1
2	13	Подготовка систем к сезонам, перевод контроллера из режима «лето» в режим «зима» и наоборот.	24	8	вентустановка	2 раза в год	1
2	14	Контроль температур сред (воздуха, воды) в зависимости от режима работы оборудования (лето/зима), сравнение значений с паспортными данными, проведение пуско-наладочных работ, при необходимости.	25	8	вентустановка	ежеквартально	1
2	15	Проверка работы вспомогательного электрооборудования вентиляционных установок. Очистка электрических  панелей.	26	8	вентустановка	ежеквартально	1
2	16	Подтяжка электрических контактов в щитах управления вентиляционных установок, проверка состояния электропроводки.	27	8	вентустановка	2 раза в год	1
2	17	Текущий ремонт (аварийные работы)	28	31	вентустановка	по заявкам	0
3	1	Технический осмотр (проверка комплектности, состояния, герметичности, изоляции трубопроводов)	29	1	шт	ежедневно	3
3	2	Проверка состояния запорной и регулировочной арматуры, фильтров, манометров	30	90	шт	ежедневно	3
3	3	Проверка состояния и работоспособности водосчетчиков	31	42	шт	ежемесячно	1
3	4	Проверка плотности закрытия (легкого хода) пожарных кранов, плотности присоединения пожарных рукавов	32	44	шт	еженедельно	2
3	5	Проверка работоспособности насосной станции	33	1	комплект	ежедневно	3
3	6	Техническое обслуживание насосной станции	34	1	комплект	ежемесячно	1
3	7	Проверка работоспособности пожарной насосной станции	35	1	комплект	ежедневно	3
3	8	Техническое обслуживание пожарной насосной станции	36	1	комплект	ежемесячно	1
3	9	Проверка работы водомерных узлов	37	2	комплект	еженедельно	2
3	10	Монтаж (демонтаж) поливочных кранов, насосной станции и поливочного водопровода	38	5	комплект	2 раза в год	1
3	11	Проверка противопожарного водопровода	39	1	шт	2 раза в год	1
3	12	Текущий ремонт (замена) кранов, смесителей, фильтров и другой арматуры	40			по мере износа	0
3	13	Контроль и по необходимости регулировка температуры и расхода ГВС	41	1	комплект	ежедневно	3
4	1	Технический осмотр (проверка комплектности, состояния, герметичности, изоляции трубопроводов)	42	1	шт	ежедневно	3
4	2	Проверка состояния затвора с электроприводом	43	5	шт	ежедневно	3
4	3	Проверка состояния и работоспособности дренажных насосов	44	5	шт	еженедельно	2
4	4	Прочистка, промывка дренажных колодцев, выставление уровней откачки	45	2	шт	ежеквартально	1
4	5	Проверка работоспособности сантехприборов в санузлах	46	17	комплект	еженедельно	2
4	6	Проверка дренажных и канализационных колодцев	47	26	шт	ежемесячно	1
4	7	Промывка канализационных колодцев/линий канализации	48	45004		ежеквартально	1
4	8	Устранение засоров, протечек	49			по необходимости	0
5	1	Осмотр системы отопления	50	1	система	ежемесячно	1
5	2	Поддержание требуемых технических и температурных параметров СО	51	1	комплект	ежедневно	3
5	3	Проверка состояния запорной, регулировочной и балансировочной арматуры, прочистка воздухоотводчиков	52	1	комплект	ежедневно	3
5	4	Проверка состояния сильфонных компенсаторов	53	88	шт	ежемесячно	1
5	5	Проверка, регулировка, по необходимости, балансировочных клапанов	54	44	шт	еженедельно	2
5	6	Проверка, регулировка, по необходимости, трехходового клапана отопления	55	1	шт	ежедневно	3
5	7	Проверка нагревательных приборов на прогрев	56	357	шт	еженедельно	2
5	8	Промывка стояков системы отопления	57	44	шт	1 раз в год	1
5	9	Гидравлические испытания системы отопления	58	1	система	1 раз в год	1
5	10	Осмотр, подклейка изоляции 	59	350	м	ежемесячно	1
5	11	Вскрытие и очистка грязевиков и фильтров	60	4	шт	ежеквартально	1
5	12	Проверка плотности задвижек, запорных кранов	61	18	шт	ежеквартально	1
5	13	Осмотр (демонтаж/монтаж) манометров и термометров	62	28	шт	еженедельно	2
5	14	Текущий (аварийный) ремонт	63			по необходимости	0
5	15	Технический осмотр оборудования тепловых завес (проверка комплектности оборудования, герметичности   водяных контуров, состояния тепловой изоляции, наличия механических повреждений оборудования).	64	7	шт	еженедельно в отопительный сезон	2
5	16	Теплофизическая диагностика тепловых завес	65	7	шт	еженедельно в отопительный сезон	2
6	1	Протяжка болтов автоматов, рубильников, трансофрматоров тока, шин N и PE	66	42	щит	ежеквартально	1
6	2	Обслуживание и поддержание работоспособности ВРУ и электрощитов	67	42	щит	ежедневно	3
6	3	Поддержание светильников в рабочем состоянии, замена ламп и их ремонт	68	820	светильник	ежедневно	3
6	4	Поддержание в рабочем состоянии и замена неисправных выключателей и розеток	69	560	шт	ежедневно	3
6	5	Аварийное обслуживание электроустановок	70	42	щит	при необходимости	0
6	6	Замеры напряжения и тока в электрических сетях	71	42	щит	ежеквартально	1
6	7	Проверка и устранение неисправностей в устройствах заземления	72	42	щит	ежеквартально	1
6	8	Проведение учета электроэнергии	73	27	счетчик	еженедельно	2
6	9	Проверка вилочных соединений	74	42	шт	еженедельно	2
6	10	Чистка щитов от пыли и протирка оборудования	75	42	шт	ежеквартально	1
6	11	Очистка контактных деталей	76	42	шт	ежеквартально	1
6	12	Проверка кабельных линий в лотках техэтажа с заходом в ГРЩ и ВРУ	77	48	линия	ежемесячно	1
6	13	Проверка работоспособности вентиляторов конвекторов, крепления концов обмотки и их целостность	78	392	шт	ежедневно в отопительный период	3
6	14	Проверка работоспособонсти термостатов, своевременный ремонт при необходимости их замена	79	62	шт	еженедельно в отопительный период	2
6	15	Проверка концевых расцепителей силовых автоматов	80	52	шт	еженедельно	2
6	16	Проверка работосособности блоков управления кондиционеров, своевременный ремонт при необходимости замена	81	55	шт	еженедельно	2
6	17	Обслуживание и поддержание работоспособности электрощитов вентустановок	82	8	шт	ежедневно	3
